============================================================
1D-CNN MULTI-CLASS TRAINING LOG
Timestamp: 2026-05-10 11:54:06
============================================================

--- Hyperparameters ---
Window Size: 512
Batch Size: 64
Max Epochs: 150
Learning Rate: 0.001
Early Stopping Patience: 10
Sliding Window Stride: 32
LR Scheduler: ReduceLROnPlateau (patience=4, factor=0.5)
Data Augmentation: None (randomness handled by data generator)
Train/Test Split: Temporal (no data leakage)

--- Environment ---
PyTorch Version: 2.12.0.dev20260408+cu128
Device: cuda
GPU: NVIDIA GeForce RTX 5060 Laptop GPU
CUDA Version: 12.8

Loading and preprocessing data...

--- Dataset ---
Training samples: 249985
Test samples: 62485
Number of classes: 7
Input shape: (249985, 1, 512)

--- Class Distribution (Training Set) ---
  Normal Background (ID 0): 165435 samples (66.2%)
  bell (ID 1): 14178 samples (5.7%)
  bell_sq (ID 2): 14243 samples (5.7%)
  fast_ascend (ID 3): 13561 samples (5.4%)
  fast_descend (ID 4): 14814 samples (5.9%)
  M (ID 5): 14898 samples (6.0%)
  square (ID 6): 12856 samples (5.1%)

--- Split ---
Train: 199988 | Validation: 49997 | Test: 62485

--- Model Architecture ---
Total Parameters: 22,727
Trainable Parameters: 22,727

--- Class Weights ---
Weights: [0.22 2.52 2.51 2.63 2.41 2.4  2.78]

============================================================
TRAINING
============================================================
Epoch    Train Loss     Val Loss       LR           Status
--------------------------------------------------------------
01/150   0.9776         0.5669         0.001000     * saved
02/150   0.6653         0.4846         0.001000     * saved
03/150   0.5909         0.4125         0.001000     * saved
04/150   0.5462         0.3830         0.001000     * saved
05/150   0.5173         0.3577         0.001000     * saved
06/150   0.4918         0.3524         0.001000     * saved
07/150   0.4753         0.3366         0.001000     * saved
08/150   0.4594         0.3293         0.001000     * saved
09/150   0.4483         0.3146         0.001000     * saved
10/150   0.4389         0.3108         0.001000     * saved
11/150   0.4309         0.3092         0.001000     * saved
12/150   0.4210         0.3149         0.001000     patience 1/10
13/150   0.4161         0.3126         0.001000     patience 2/10
14/150   0.4117         0.2950         0.001000     * saved
15/150   0.4063         0.2992         0.001000     patience 1/10
16/150   0.3988         0.2925         0.001000     * saved
17/150   0.3949         0.2868         0.001000     * saved
18/150   0.3928         0.3010         0.001000     patience 1/10
19/150   0.3877         0.2849         0.001000     * saved
20/150   0.3840         0.3026         0.001000     patience 1/10
21/150   0.3829         0.2806         0.001000     * saved
22/150   0.3770         0.2905         0.001000     patience 1/10
23/150   0.3729         0.2691         0.001000     * saved
24/150   0.3687         0.2921         0.001000     patience 1/10
25/150   0.3680         0.2702         0.001000     patience 2/10
26/150   0.3623         0.2756         0.001000     patience 3/10
27/150   0.3642         0.2660         0.001000     * saved
28/150   0.3615         0.2764         0.001000     patience 1/10
29/150   0.3590         0.2703         0.001000     patience 2/10
30/150   0.3553         0.2667         0.001000     patience 3/10
31/150   0.3542         0.2807         0.001000     patience 4/10
32/150   0.3518         0.2665         0.001000     patience 5/10
33/150   0.3365         0.2566         0.000500     * saved
34/150   0.3349         0.2562         0.000500     * saved
35/150   0.3292         0.2548         0.000500     * saved
36/150   0.3285         0.2590         0.000500     patience 1/10
37/150   0.3257         0.2549         0.000500     patience 2/10
38/150   0.3255         0.2556         0.000500     patience 3/10
39/150   0.3257         0.2532         0.000500     * saved
40/150   0.3237         0.2526         0.000500     * saved
41/150   0.3241         0.2544         0.000500     patience 1/10
42/150   0.3218         0.2506         0.000500     * saved
43/150   0.3217         0.2544         0.000500     patience 1/10
44/150   0.3201         0.2519         0.000500     patience 2/10
45/150   0.3165         0.2501         0.000500     * saved
46/150   0.3181         0.2496         0.000500     * saved
47/150   0.3164         0.2485         0.000500     * saved
48/150   0.3164         0.2549         0.000500     patience 1/10
49/150   0.3144         0.2524         0.000500     patience 2/10
50/150   0.3158         0.2535         0.000500     patience 3/10
51/150   0.3096         0.2477         0.000500     * saved
52/150   0.3117         0.2500         0.000500     patience 1/10
53/150   0.3113         0.2454         0.000500     * saved
54/150   0.3115         0.2490         0.000500     patience 1/10
55/150   0.3091         0.2448         0.000500     * saved
56/150   0.3110         0.2540         0.000500     patience 1/10
57/150   0.3098         0.2457         0.000500     patience 2/10
58/150   0.3089         0.2469         0.000500     patience 3/10
59/150   0.3085         0.2445         0.000500     * saved
60/150   0.3080         0.2482         0.000500     patience 1/10
61/150   0.3057         0.2452         0.000500     patience 2/10
62/150   0.3066         0.2511         0.000500     patience 3/10
63/150   0.3065         0.2453         0.000500     patience 4/10
64/150   0.3075         0.2474         0.000500     patience 5/10
65/150   0.2953         0.2433         0.000250     * saved
66/150   0.2951         0.2424         0.000250     * saved
67/150   0.2941         0.2414         0.000250     * saved
68/150   0.2902         0.2415         0.000250     patience 1/10
69/150   0.2956         0.2417         0.000250     patience 2/10
70/150   0.2944         0.2408         0.000250     * saved
71/150   0.2924         0.2424         0.000250     patience 1/10
72/150   0.2897         0.2439         0.000250     patience 2/10
73/150   0.2929         0.2429         0.000250     patience 3/10
74/150   0.2901         0.2410         0.000250     patience 4/10
75/150   0.2918         0.2407         0.000250     * saved
76/150   0.2905         0.2421         0.000250     patience 1/10
77/150   0.2894         0.2422         0.000250     patience 2/10
78/150   0.2893         0.2402         0.000250     * saved
79/150   0.2879         0.2433         0.000250     patience 1/10
80/150   0.2881         0.2395         0.000250     * saved
81/150   0.2905         0.2435         0.000250     patience 1/10
82/150   0.2880         0.2387         0.000250     * saved
83/150   0.2885         0.2416         0.000250     patience 1/10
84/150   0.2867         0.2417         0.000250     patience 2/10
85/150   0.2852         0.2400         0.000250     patience 3/10
86/150   0.2862         0.2407         0.000250     patience 4/10
87/150   0.2851         0.2397         0.000250     patience 5/10
88/150   0.2793         0.2395         0.000125     patience 6/10
89/150   0.2806         0.2385         0.000125     * saved
90/150   0.2807         0.2410         0.000125     patience 1/10
91/150   0.2775         0.2389         0.000125     patience 2/10
92/150   0.2805         0.2383         0.000125     * saved
93/150   0.2805         0.2388         0.000125     patience 1/10
94/150   0.2783         0.2412         0.000125     patience 2/10
95/150   0.2786         0.2369         0.000125     * saved
96/150   0.2781         0.2371         0.000125     patience 1/10
97/150   0.2815         0.2394         0.000125     patience 2/10
98/150   0.2774         0.2392         0.000125     patience 3/10
99/150   0.2756         0.2395         0.000125     patience 4/10
100/150   0.2774         0.2372         0.000125     patience 5/10
101/150   0.2760         0.2381         0.000063     patience 6/10
102/150   0.2769         0.2364         0.000063     * saved
103/150   0.2760         0.2370         0.000063     patience 1/10
104/150   0.2761         0.2365         0.000063     patience 2/10
105/150   0.2742         0.2367         0.000063     patience 3/10
106/150   0.2758         0.2365         0.000063     patience 4/10
107/150   0.2761         0.2354         0.000063     * saved
108/150   0.2750         0.2370         0.000063     patience 1/10
109/150   0.2754         0.2377         0.000063     patience 2/10
110/150   0.2748         0.2347         0.000063     * saved
111/150   0.2732         0.2356         0.000063     patience 1/10
112/150   0.2761         0.2372         0.000063     patience 2/10
113/150   0.2748         0.2364         0.000063     patience 3/10
114/150   0.2766         0.2376         0.000063     patience 4/10
115/150   0.2755         0.2368         0.000063     patience 5/10
116/150   0.2719         0.2362         0.000031     patience 6/10
117/150   0.2727         0.2369         0.000031     patience 7/10
118/150   0.2746         0.2375         0.000031     patience 8/10
119/150   0.2716         0.2367         0.000031     patience 9/10
120/150   0.2731         0.2369         0.000031     EARLY STOP

Training Duration: 0:22:37.243201
Best Validation Loss: 0.2347

============================================================
TEST EVALUATION
============================================================
Test Loss: 0.3279
Test Accuracy: 0.9304 (58139/62485)

--- Per-Class Accuracy ---
  Normal Background (ID 0): 0.9629 (39729/41258)
  bell (ID 1): 0.8686 (3185/3667)
  bell_sq (ID 2): 0.8244 (2897/3514)
  fast_ascend (ID 3): 0.9067 (3304/3644)
  fast_descend (ID 4): 0.8728 (2999/3436)
  M (ID 5): 0.8612 (3126/3630)
  square (ID 6): 0.8690 (2899/3336)

Model saved to: c:\Users\Pedro\My Drive\centrale-supelec\pole-anomaly\1D-CNN\saved_models\best_1d_cnn_pytorch.pth
Log saved to: c:\Users\Pedro\My Drive\centrale-supelec\pole-anomaly\1D-CNN\logs\training_log.txt

============================================================
