time_step,gamma_dose,is_anomaly
0.000000000000000000e+00,9.757439046563482066e+01,0.000000000000000000e+00
1.000000000000000000e+00,1.037718689806448111e+02,0.000000000000000000e+00
2.000000000000000000e+00,9.994090219590194124e+01,0.000000000000000000e+00
3.000000000000000000e+00,1.005251216347598699e+02,0.000000000000000000e+00
4.000000000000000000e+00,9.828170919517758364e+01,0.000000000000000000e+00
5.000000000000000000e+00,1.043217687296346980e+02,0.000000000000000000e+00
6.000000000000000000e+00,1.034220877955248881e+02,0.000000000000000000e+00
7.000000000000000000e+00,1.005214016095069667e+02,0.000000000000000000e+00
8.000000000000000000e+00,1.048434591694465610e+02,0.000000000000000000e+00
9.000000000000000000e+00,1.044140579580144106e+02,0.000000000000000000e+00
1.000000000000000000e+01,1.050700314872313328e+02,0.000000000000000000e+00
1.100000000000000000e+01,1.020016173703110667e+02,0.000000000000000000e+00
1.200000000000000000e+01,9.853331054477411044e+01,0.000000000000000000e+00
1.300000000000000000e+01,9.934826041823974663e+01,0.000000000000000000e+00
1.400000000000000000e+01,1.008886065965946273e+02,0.000000000000000000e+00
1.500000000000000000e+01,9.818350992155409074e+01,0.000000000000000000e+00
1.600000000000000000e+01,1.041600512355478827e+02,0.000000000000000000e+00
1.700000000000000000e+01,1.079695265247017488e+02,0.000000000000000000e+00
1.800000000000000000e+01,1.045760287777237068e+02,0.000000000000000000e+00
1.900000000000000000e+01,1.022394365419696101e+02,0.000000000000000000e+00
2.000000000000000000e+01,1.017924694182660801e+02,0.000000000000000000e+00
2.100000000000000000e+01,1.047182639509822195e+02,0.000000000000000000e+00
2.200000000000000000e+01,9.846682509285726326e+01,0.000000000000000000e+00
2.300000000000000000e+01,1.035980906794950300e+02,0.000000000000000000e+00
2.400000000000000000e+01,9.739504884666975215e+01,0.000000000000000000e+00
2.500000000000000000e+01,9.996649802706488686e+01,0.000000000000000000e+00
2.600000000000000000e+01,9.692863476396077260e+01,0.000000000000000000e+00
2.700000000000000000e+01,1.106146869063091884e+02,0.000000000000000000e+00
2.800000000000000000e+01,1.047679078144131353e+02,0.000000000000000000e+00
2.900000000000000000e+01,1.018115984870573953e+02,0.000000000000000000e+00
3.000000000000000000e+01,9.933554264212806117e+01,0.000000000000000000e+00
3.100000000000000000e+01,9.772754861313860886e+01,0.000000000000000000e+00
