time_step,gamma_dose,is_anomaly
0.000000000000000000e+00,9.861979999999999791e+01,0.000000000000000000e+00
1.000000000000000000e+00,9.882139999999999702e+01,0.000000000000000000e+00
2.000000000000000000e+00,9.745799999999999841e+01,0.000000000000000000e+00
3.000000000000000000e+00,9.790059999999999718e+01,0.000000000000000000e+00
4.000000000000000000e+00,9.694780000000000086e+01,0.000000000000000000e+00
5.000000000000000000e+00,9.515230999999999995e+01,0.000000000000000000e+00
6.000000000000000000e+00,9.570539999999999736e+01,0.000000000000000000e+00
7.000000000000000000e+00,9.707249000000000194e+01,0.000000000000000000e+00
8.000000000000000000e+00,9.710609999999999786e+01,0.000000000000000000e+00
9.000000000000000000e+00,9.810689999999999600e+01,0.000000000000000000e+00
1.000000000000000000e+01,9.943380000000000507e+01,0.000000000000000000e+00
1.100000000000000000e+01,9.936509999999999820e+01,0.000000000000000000e+00
1.200000000000000000e+01,9.882680999999999472e+01,0.000000000000000000e+00
1.300000000000000000e+01,9.794540000000000646e+01,0.000000000000000000e+00
1.400000000000000000e+01,9.825400999999999385e+01,0.000000000000000000e+00
1.500000000000000000e+01,9.863960000000000150e+01,0.000000000000000000e+00
1.600000000000000000e+01,9.745669999999999789e+01,0.000000000000000000e+00
1.700000000000000000e+01,9.602740000000000009e+01,0.000000000000000000e+00
1.800000000000000000e+01,9.526730000000000587e+01,0.000000000000000000e+00
1.900000000000000000e+01,9.621250000000000568e+01,0.000000000000000000e+00
2.000000000000000000e+01,9.438020000000000209e+01,0.000000000000000000e+00
2.100000000000000000e+01,9.577469999999999573e+01,0.000000000000000000e+00
2.200000000000000000e+01,9.776569999999999538e+01,0.000000000000000000e+00
2.300000000000000000e+01,9.674899999999999523e+01,0.000000000000000000e+00
2.400000000000000000e+01,9.621970000000000312e+01,0.000000000000000000e+00
2.500000000000000000e+01,9.758639999999999759e+01,0.000000000000000000e+00
2.600000000000000000e+01,9.754970000000000141e+01,0.000000000000000000e+00
2.700000000000000000e+01,9.682819999999999538e+01,0.000000000000000000e+00
2.800000000000000000e+01,9.825230000000000530e+01,0.000000000000000000e+00
2.900000000000000000e+01,9.660920000000000130e+01,0.000000000000000000e+00
3.000000000000000000e+01,9.689709999999999468e+01,0.000000000000000000e+00
3.100000000000000000e+01,9.751349999999999341e+01,0.000000000000000000e+00
3.200000000000000000e+01,9.719219999999999970e+01,0.000000000000000000e+00
3.300000000000000000e+01,9.699009999999999820e+01,0.000000000000000000e+00
3.400000000000000000e+01,9.882080000000000553e+01,0.000000000000000000e+00
3.500000000000000000e+01,9.989589999999999748e+01,0.000000000000000000e+00
3.600000000000000000e+01,1.005322000000000031e+02,0.000000000000000000e+00
3.700000000000000000e+01,1.002502000000000066e+02,0.000000000000000000e+00
3.800000000000000000e+01,1.002883000000000067e+02,0.000000000000000000e+00
3.900000000000000000e+01,9.892959999999999354e+01,0.000000000000000000e+00
4.000000000000000000e+01,9.860240000000000293e+01,0.000000000000000000e+00
4.100000000000000000e+01,9.792730000000000246e+01,0.000000000000000000e+00
4.200000000000000000e+01,9.979829999999999757e+01,0.000000000000000000e+00
4.300000000000000000e+01,9.962760000000000105e+01,0.000000000000000000e+00
4.400000000000000000e+01,9.918619999999999948e+01,0.000000000000000000e+00
4.500000000000000000e+01,1.010493000000000023e+02,0.000000000000000000e+00
