time_step,gamma_dose,is_anomaly
0.000000000000000000e+00,1.028096374121422372e+02,0.000000000000000000e+00
1.000000000000000000e+00,9.849964345123409259e+01,0.000000000000000000e+00
2.000000000000000000e+00,1.017734769193422437e+02,0.000000000000000000e+00
3.000000000000000000e+00,1.080635527000508063e+02,0.000000000000000000e+00
4.000000000000000000e+00,9.533336385074395025e+01,0.000000000000000000e+00
5.000000000000000000e+00,1.008153578053894250e+02,0.000000000000000000e+00
6.000000000000000000e+00,1.020785695352989677e+02,0.000000000000000000e+00
7.000000000000000000e+00,9.458602235084082110e+01,0.000000000000000000e+00
8.000000000000000000e+00,9.388245962331946259e+01,0.000000000000000000e+00
9.000000000000000000e+00,1.003511578915572926e+02,0.000000000000000000e+00
1.000000000000000000e+01,9.920995094125035507e+01,0.000000000000000000e+00
1.100000000000000000e+01,9.376176879896573269e+01,0.000000000000000000e+00
1.200000000000000000e+01,1.045556975095873327e+02,0.000000000000000000e+00
1.300000000000000000e+01,9.548069038510892881e+01,0.000000000000000000e+00
1.400000000000000000e+01,1.001584890974153268e+02,0.000000000000000000e+00
1.500000000000000000e+01,1.044939387415531229e+02,0.000000000000000000e+00
1.600000000000000000e+01,1.016066880191726938e+02,0.000000000000000000e+00
1.700000000000000000e+01,9.850257460786812658e+01,0.000000000000000000e+00
1.800000000000000000e+01,9.665802424082569644e+01,0.000000000000000000e+00
1.900000000000000000e+01,1.071876471672115798e+02,0.000000000000000000e+00
2.000000000000000000e+01,9.497292715136438801e+01,0.000000000000000000e+00
2.100000000000000000e+01,9.949474313209127274e+01,0.000000000000000000e+00
2.200000000000000000e+01,9.163697552198637197e+01,0.000000000000000000e+00
2.300000000000000000e+01,9.024253595234375780e+01,0.000000000000000000e+00
2.400000000000000000e+01,9.696571213725161442e+01,0.000000000000000000e+00
2.500000000000000000e+01,9.844324910102680803e+01,0.000000000000000000e+00
2.600000000000000000e+01,1.048321756952977637e+02,0.000000000000000000e+00
2.700000000000000000e+01,9.985660856182879286e+01,0.000000000000000000e+00
2.800000000000000000e+01,9.817784205320204194e+01,0.000000000000000000e+00
2.900000000000000000e+01,9.703725209997566026e+01,0.000000000000000000e+00
3.000000000000000000e+01,1.040325124312154941e+02,0.000000000000000000e+00
3.100000000000000000e+01,1.009522223469152209e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.019620208514570834e+02,0.000000000000000000e+00
3.300000000000000000e+01,9.904383347566135853e+01,0.000000000000000000e+00
3.400000000000000000e+01,9.576619299815588704e+01,0.000000000000000000e+00
