time_step,gamma_dose,is_anomaly
0.000000000000000000e+00,1.024142148162127484e+02,0.000000000000000000e+00
1.000000000000000000e+00,9.995180141575103505e+01,0.000000000000000000e+00
2.000000000000000000e+00,9.993888071349027769e+01,0.000000000000000000e+00
3.000000000000000000e+00,1.030911338216577349e+02,0.000000000000000000e+00
4.000000000000000000e+00,1.045693654427514048e+02,0.000000000000000000e+00
5.000000000000000000e+00,1.014860054265361100e+02,0.000000000000000000e+00
6.000000000000000000e+00,1.028023077980264901e+02,0.000000000000000000e+00
7.000000000000000000e+00,9.602307224231067551e+01,0.000000000000000000e+00
8.000000000000000000e+00,9.415442166533031809e+01,0.000000000000000000e+00
9.000000000000000000e+00,9.594304174947039598e+01,0.000000000000000000e+00
1.000000000000000000e+01,1.016169236946829386e+02,0.000000000000000000e+00
1.100000000000000000e+01,9.783386955104354854e+01,0.000000000000000000e+00
1.200000000000000000e+01,1.010830905116834657e+02,0.000000000000000000e+00
1.300000000000000000e+01,1.012025267424396304e+02,0.000000000000000000e+00
1.400000000000000000e+01,9.902856918232511418e+01,0.000000000000000000e+00
1.500000000000000000e+01,9.820819429280754775e+01,0.000000000000000000e+00
1.600000000000000000e+01,9.951384959109245187e+01,0.000000000000000000e+00
1.700000000000000000e+01,9.883937192469201705e+01,0.000000000000000000e+00
1.800000000000000000e+01,1.027686450569027272e+02,0.000000000000000000e+00
1.900000000000000000e+01,1.039959218844459912e+02,0.000000000000000000e+00
2.000000000000000000e+01,9.647776666801765089e+01,0.000000000000000000e+00
2.100000000000000000e+01,1.019550076062818107e+02,0.000000000000000000e+00
2.200000000000000000e+01,1.000388748736259998e+02,0.000000000000000000e+00
2.300000000000000000e+01,9.774611222574506542e+01,0.000000000000000000e+00
2.400000000000000000e+01,9.823359511382622600e+01,0.000000000000000000e+00
2.500000000000000000e+01,1.017260938931268868e+02,0.000000000000000000e+00
2.600000000000000000e+01,9.846889846239768929e+01,0.000000000000000000e+00
2.700000000000000000e+01,9.526534532589198534e+01,0.000000000000000000e+00
2.800000000000000000e+01,9.719470571269019388e+01,0.000000000000000000e+00
2.900000000000000000e+01,9.813307903767193352e+01,0.000000000000000000e+00
3.000000000000000000e+01,1.045153535462386145e+02,0.000000000000000000e+00
3.100000000000000000e+01,1.040072619213872400e+02,0.000000000000000000e+00
3.200000000000000000e+01,1.002564975103075824e+02,0.000000000000000000e+00
3.300000000000000000e+01,1.034724523920544641e+02,0.000000000000000000e+00
3.400000000000000000e+01,1.036908643083735342e+02,0.000000000000000000e+00
3.500000000000000000e+01,1.053941765333779870e+02,0.000000000000000000e+00
3.600000000000000000e+01,1.026241332257928605e+02,0.000000000000000000e+00
3.700000000000000000e+01,1.037256792108369581e+02,0.000000000000000000e+00
3.800000000000000000e+01,9.700910852720004129e+01,0.000000000000000000e+00
3.900000000000000000e+01,1.000970850098110816e+02,0.000000000000000000e+00
4.000000000000000000e+01,1.054716125591081664e+02,0.000000000000000000e+00
4.100000000000000000e+01,1.026795775302330327e+02,0.000000000000000000e+00
4.200000000000000000e+01,1.029471105340249864e+02,0.000000000000000000e+00
4.300000000000000000e+01,1.069123385150309815e+02,0.000000000000000000e+00
4.400000000000000000e+01,9.982374497684985215e+01,0.000000000000000000e+00
4.500000000000000000e+01,9.767022825267473252e+01,0.000000000000000000e+00
4.600000000000000000e+01,1.011863382865634691e+02,0.000000000000000000e+00
4.700000000000000000e+01,1.059031718083095512e+02,0.000000000000000000e+00
4.800000000000000000e+01,1.027384826121510315e+02,0.000000000000000000e+00
4.900000000000000000e+01,1.110095933863968298e+02,0.000000000000000000e+00
5.000000000000000000e+01,9.630823454507766712e+01,0.000000000000000000e+00
5.100000000000000000e+01,9.804440720487748706e+01,0.000000000000000000e+00
5.200000000000000000e+01,1.035364375124176064e+02,0.000000000000000000e+00
5.300000000000000000e+01,1.011068199277115838e+02,0.000000000000000000e+00
5.400000000000000000e+01,9.548957734197881564e+01,0.000000000000000000e+00
5.500000000000000000e+01,1.061893779801886097e+02,0.000000000000000000e+00
5.600000000000000000e+01,1.007657117908146631e+02,0.000000000000000000e+00
